respid,price.BrieAvoSm,price.BrieAvoRg,price.SupVegSm,price.SupVegRg,price.DNB,choice
1,2.25,3.75,2.25,3.75,0,SupVegRg
2,2.25,4.5,2.25,4.5,0,DNB
3,1.75,4.25,1.75,4.25,0,BrieAvoSm
4,1.75,4.5,1.75,4.5,0,SupVegSm
5,1.5,4,1.5,4,0,DNB
6,2.5,4,2.5,4,0,DNB
7,1.75,3.75,1.75,3.75,0,BrieAvoSm
8,2.25,4.5,2.25,4.5,0,BrieAvoRg
9,2,4.5,2,4.5,0,SupVegSm
10,2.5,3.5,2.5,3.5,0,SupVegRg
11,2,4.5,2,4.5,0,BrieAvoSm
12,2.5,4,2.5,4,0,DNB
13,2,3.5,2,3.5,0,SupVegSm
14,2.5,4.25,2.5,4.25,0,DNB
15,2.5,3.5,2.5,3.5,0,SupVegRg
16,1.75,3.75,1.75,3.75,0,BrieAvoSm
17,1.5,3.5,1.5,3.5,0,SupVegRg
18,2,3.5,2,3.5,0,BrieAvoSm
19,1.5,4.25,1.5,4.25,0,DNB
20,2.25,3.5,2.25,3.5,0,SupVegRg
21,2,4.25,2,4.25,0,SupVegRg
22,2.25,4.5,2.25,4.5,0,DNB
23,1.75,4.5,1.75,4.5,0,DNB
24,1.5,3.75,1.5,3.75,0,SupVegRg
25,2.5,4.25,2.5,4.25,0,DNB
26,1.75,3.75,1.75,3.75,0,SupVegSm
27,2,4,2,4,0,DNB
28,1.5,3.75,1.5,3.75,0,BrieAvoRg
29,1.5,3.75,1.5,3.75,0,SupVegSm
30,1.75,4,1.75,4,0,BrieAvoSm
31,2.25,4.5,2.25,4.5,0,DNB
32,1.75,4.25,1.75,4.25,0,SupVegSm
33,2.5,4,2.5,4,0,DNB
34,2.5,4,2.5,4,0,DNB
35,1.75,4.25,1.75,4.25,0,BrieAvoSm
36,2.25,3.75,2.25,3.75,0,SupVegRg
37,2.25,3.5,2.25,3.5,0,DNB
38,2.5,4.25,2.5,4.25,0,DNB
39,1.75,3.75,1.75,3.75,0,SupVegRg
40,2.5,4,2.5,4,0,BrieAvoRg
41,1.75,3.75,1.75,3.75,0,DNB
42,2.5,4.5,2.5,4.5,0,DNB
43,1.5,4.5,1.5,4.5,0,SupVegSm
44,1.5,4.5,1.5,4.5,0,SupVegSm
45,2.25,4.25,2.25,4.25,0,DNB
46,2.5,3.75,2.5,3.75,0,BrieAvoRg
47,1.5,4,1.5,4,0,SupVegSm
48,1.75,4.25,1.75,4.25,0,SupVegSm
49,2,3.75,2,3.75,0,DNB
50,1.75,4.5,1.75,4.5,0,BrieAvoSm
51,2,3.75,2,3.75,0,DNB
52,2.25,4,2.25,4,0,SupVegRg
53,1.75,4.5,1.75,4.5,0,DNB
54,2,4,2,4,0,DNB
55,2.5,4.25,2.5,4.25,0,DNB
56,2.25,4,2.25,4,0,DNB
57,2.5,4.5,2.5,4.5,0,DNB
58,2,3.5,2,3.5,0,BrieAvoSm
59,2.25,4,2.25,4,0,DNB
60,2.25,4,2.25,4,0,DNB
61,2.25,4,2.25,4,0,DNB
62,2.25,4,2.25,4,0,SupVegRg
63,2,3.5,2,3.5,0,SupVegRg
64,1.75,4,1.75,4,0,BrieAvoSm
65,2,3.5,2,3.5,0,BrieAvoRg
66,1.5,3.75,1.5,3.75,0,BrieAvoSm
67,1.5,4.25,1.5,4.25,0,SupVegSm
68,1.75,4.5,1.75,4.5,0,DNB
69,1.5,4.25,1.5,4.25,0,BrieAvoSm
70,2.5,3.75,2.5,3.75,0,BrieAvoRg
71,1.5,3.5,1.5,3.5,0,SupVegRg
72,2,3.75,2,3.75,0,SupVegRg
73,1.75,4.5,1.75,4.5,0,DNB
74,2.25,4.25,2.25,4.25,0,DNB
75,2.5,3.5,2.5,3.5,0,BrieAvoRg
76,2.5,3.75,2.5,3.75,0,SupVegRg
77,1.75,4.25,1.75,4.25,0,SupVegSm
78,1.5,4.25,1.5,4.25,0,BrieAvoSm
79,2.5,3.5,2.5,3.5,0,BrieAvoRg
80,2.5,4,2.5,4,0,SupVegSm
